,cycle_id,harvested_at,weight,size,total_harvest(kg),total_seed,survival_rate(%),average_weight(gr),est_remaining_population,biomass(kg),avg_pond_length,avg_pond_width,avg_pond_depth,long_cycle(day),total_feed(kg),avg_tray_number,avg_feed_remain%,count_fasting,total_mortal,avg_weight_mortal,avg_weight_sample
52,4048,2020-08-01,717.41,46.0,33000.86,265447,43.07,21.73913043478261,151112.83000000002,3285.061521739131,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
53,4048,2020-08-01,118.91,71.0,8442.61,265447,46.25,14.08450704225352,142670.22,2009.439718309859,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
54,4048,2020-08-08,1009.07,44.0,44399.08,265447,62.98,22.727272727272727,98271.14000000001,2233.4350000000004,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
55,4048,2020-08-08,129.39,71.0,9186.689999999999,265447,66.44,14.084507042253522,89084.45000000001,1254.7105633802819,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
56,4048,2020-08-12,1044.28,41.0,42815.479999999996,265447,82.57,24.39024390243903,46268.97,1128.5114634146344,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
57,4048,2020-08-12,208.59,73.0,15227.07,265447,88.31,13.698630136986301,31041.899999999994,425.23150684931494,45.31,33.99,1.1,119,8166.0,0.0,0.0,0.0,0.0,0.0,11.722142857142858
58,4181,2020-06-11,255.0,210.0,53550.0,100000,53.55,4.761904761904762,46450.0,221.19047619047618,22.07,18.3,1.2,52,611.98,0.0,0.0,5.0,0.0,0.0,5.5
59,4181,2020-06-23,232.0,126.0,29232.0,100000,82.78,7.936507936507937,17218.0,136.65079365079367,22.07,18.3,1.2,52,611.98,0.0,0.0,5.0,0.0,0.0,5.5
60,4181,2020-06-23,8.0,100.0,800.0,100000,83.58,10.0,16418.0,164.18,22.07,18.3,1.2,52,611.98,0.0,0.0,5.0,0.0,0.0,5.5
61,4233,2020-06-21,700.0,250.0,175000.0,400000,43.75,4.0,225000.0,900.0,40.41,30.31,1.5,59,2705.0,0.0,0.0,1.0,0.0,0.0,4.55
